coef,estimate_Panel A,estimate_Panel B,se_Panel A,se_Panel B,agrees_sign
Theta_dn_Cog,0.147413673460869,0.0707067415107274,0.128307850400133,0.0433996074296452,TRUE
Theta_dn_Phy,-0.146188248225011,-0.143026410019688,0.107237581707819,0.0686749553979275,TRUE
Theta_up_Cog,0.336531089919379,0.307118400341779,0.101088153612744,0.0603134257354499,TRUE
Theta_up_Phy,-0.818543870354247,-0.648850258218612,0.136599695219325,0.107041978948103,TRUE
