domain,rmse_ATC,rmse_NULL,mae_ATC,mae_NULL,obs_gap,atc_gap,null_gap,rmse_label,gap_label
Cognitive,0.0364443427725842,0.0444521028769364,0.0316349977809505,0.0394707414170986,0.100529678654679,0.0572033045796333,0.00727690876020673,RMSE: ATC 0.036 | NULL 0.044,Q5-Q1: Obs 0.101 | ATC 0.057 | NULL 0.007
Physical,0.0646884491807652,0.0690563470120638,0.0543447623455352,0.0578996696451495,-0.152874807732848,-0.0617710097005551,-0.00753262944586179,RMSE: ATC 0.065 | NULL 0.069,Q5-Q1: Obs -0.153 | ATC -0.062 | NULL -0.008
