domain,rmse_ATC,rmse_NULL,mae_ATC,mae_NULL,obs_q5_q1,atc_q5_q1,null_q5_q1,better_rmse,better_mae
Cognitive,0.0364443427725842,0.0444521028769364,0.0316349977809505,0.0394707414170986,0.100529678654679,0.0572033045796333,0.00727690876020673,ATC,ATC
Overall,0.0525013598754263,0.0580722330930726,0.0429898800632429,0.048685205531124,,,,ATC,ATC
Physical,0.0646884491807652,0.0690563470120638,0.0543447623455352,0.0578996696451495,-0.152874807732848,-0.0617710097005551,-0.00753262944586179,ATC,ATC
Polarization index,,,,,0.253404486387527,0.118974314280188,0.0148095382060685,ATC,ATC
