atc_archetype,frac_ATC_b,frac_SYM_b,b_rep
Physical_Terminal,0.401700507109498,0.467866644453497,1
SC_Specialized,0.862377252735905,0.879364953906969,1
SC_Scaffolding,0.108109925198759,0.104684984828433,1
Physical_Terminal,0.469474367078687,0.511395095245684,2
SC_Specialized,0.552251021829674,0.808415570879955,2
SC_Scaffolding,0.413011472674081,0.420706682023024,2
Physical_Terminal,0.491880531915609,0.533888782288803,3
SC_Specialized,2.38425257804124,2.08806076755305,3
SC_Scaffolding,0.514115196833718,0.517924281889362,3
Physical_Terminal,0.357091502013479,0.436809426397238,4
SC_Specialized,1.03724665331349,0.950778293484249,4
SC_Scaffolding,0.404555057889887,0.472553804454198,4
Physical_Terminal,0.455406042162618,0.54116916512282,5
SC_Specialized,1.83958391558263,1.94039271252216,5
SC_Scaffolding,0.369649622025776,0.415709736913608,5
Physical_Terminal,0.416181323239238,0.487888968716995,6
SC_Specialized,1.07310124727055,1.10093269959293,6
SC_Scaffolding,0.352048149599569,0.417675901826246,6
Physical_Terminal,0.267100393558573,0.342813957821285,7
SC_Specialized,1.53379675084871,1.4668597726579,7
SC_Scaffolding,0.694290305886177,0.708568744721753,7
Physical_Terminal,0.384271842069395,0.411133853988632,8
SC_Specialized,1.60721615946338,1.55103989655718,8
SC_Scaffolding,0.70169016440055,0.731883504674409,8
Physical_Terminal,0.492132676576322,0.506710669631157,9
SC_Specialized,0.203060643244998,0.403059388946711,9
SC_Scaffolding,0.31677120708013,0.288025037140393,9
Physical_Terminal,0.301007809242011,0.38253085198518,10
SC_Specialized,-0.498279794351089,-0.164259046785822,10
SC_Scaffolding,0.453535920665832,0.491393787353976,10
Physical_Terminal,0.500157736880181,0.528907448469901,11
SC_Specialized,2.95836362789244,2.74338732503966,11
SC_Scaffolding,0.242967318149908,0.28131437052418,11
Physical_Terminal,0.274766722389347,0.321669726253605,12
SC_Specialized,1.42924305780033,1.39499579270928,12
SC_Scaffolding,0.441398610854367,0.467659038137294,12
Physical_Terminal,0.381276579283871,0.431765519229035,13
SC_Specialized,1.11485358025822,1.08900758367228,13
SC_Scaffolding,0.31317421646448,0.308976838839147,13
Physical_Terminal,0.348208630289171,0.418840847606915,14
SC_Specialized,0.375157110347016,0.452205357034625,14
SC_Scaffolding,0.473602277766516,0.47884771491095,14
Physical_Terminal,0.466863405452693,0.582128225316552,15
SC_Specialized,0.50848176328061,0.62162836146921,15
SC_Scaffolding,0.468908999426662,0.450130443319151,15
Physical_Terminal,0.356765233340983,0.395410302142034,16
SC_Specialized,1.4015429336957,1.41118091924945,16
SC_Scaffolding,0.502182450305851,0.483746155121069,16
Physical_Terminal,0.216739359266458,0.272133840624188,17
SC_Specialized,2.28156972138816,2.38245071515193,17
SC_Scaffolding,0.269356752367846,0.297637616596145,17
Physical_Terminal,0.522328384345927,0.560532915378469,18
SC_Specialized,1.96016583177408,1.90192243604573,18
SC_Scaffolding,0.537746403378153,0.556111039597618,18
Physical_Terminal,0.280441281117746,0.331205500953243,19
SC_Specialized,2.0407643516258,1.96028501381529,19
SC_Scaffolding,0.170358697191304,0.148877260904131,19
Physical_Terminal,0.541354733927461,0.629613614235867,20
SC_Specialized,1.55107503148665,1.51785719653527,20
SC_Scaffolding,0.437472364444512,0.439140191035885,20
Physical_Terminal,0.452419792169733,0.478874885600224,21
SC_Specialized,1.43699698196474,1.33046878511804,21
SC_Scaffolding,0.276762702598419,0.277289533223622,21
Physical_Terminal,0.423821113818922,0.452782754478095,22
SC_Specialized,1.10116918240091,0.934166183379682,22
SC_Scaffolding,0.453753519313036,0.482175834635594,22
Physical_Terminal,0.38681620119248,0.452365676028113,23
SC_Specialized,0.519642721155375,0.562192442666453,23
SC_Scaffolding,0.33817773492722,0.31841315489949,23
Physical_Terminal,0.374652095464904,0.403202377947224,24
SC_Specialized,0.928755081321144,0.995353911294173,24
SC_Scaffolding,0.564618100115789,0.626156100457338,24
Physical_Terminal,0.409982417056781,0.482557339292724,25
SC_Specialized,1.7604477180123,1.61833284346672,25
SC_Scaffolding,0.587955765764256,0.601652487022691,25
Physical_Terminal,0.296952052840606,0.311695386865463,26
SC_Specialized,0.772861147336758,0.889232356076252,26
SC_Scaffolding,0.400936384539764,0.433931722319628,26
Physical_Terminal,0.528935603656859,0.534351798474575,27
SC_Specialized,2.58224686436472,2.66784962825413,27
SC_Scaffolding,0.334309884622839,0.328375079684717,27
Physical_Terminal,0.529790922657664,0.591438807903468,28
SC_Specialized,2.10003463636737,1.91519687852032,28
SC_Scaffolding,0.445628761878676,0.492996332747238,28
Physical_Terminal,0.466410518767443,0.543532290194857,29
SC_Specialized,0.54158209695536,0.510297264639263,29
SC_Scaffolding,0.379020598543814,0.354690875868809,29
Physical_Terminal,0.427129889892845,0.468799915824824,30
SC_Specialized,1.72962198391674,1.61172875109996,30
SC_Scaffolding,0.470697763640285,0.478060909149617,30
Physical_Terminal,0.405807855477646,0.463636283074884,31
SC_Specialized,0.254708267133535,0.46150429298217,31
SC_Scaffolding,0.524917246013028,0.560836146311997,31
Physical_Terminal,0.406161316407426,0.459223533097595,32
SC_Specialized,0.654793740667049,0.453591186292747,32
SC_Scaffolding,0.390893401161127,0.397228585441904,32
Physical_Terminal,0.33545143650584,0.437745983981399,33
SC_Specialized,-0.0238954734520056,-0.0409410505978629,33
SC_Scaffolding,0.501017451766176,0.568627336815274,33
Physical_Terminal,0.64188755650846,0.751506031764314,34
SC_Specialized,1.20827024859783,1.03196151656075,34
SC_Scaffolding,0.464356793004747,0.479619923645503,34
Physical_Terminal,0.337519789579244,0.371148177746475,35
SC_Specialized,0.418903544137918,0.370044705835513,35
SC_Scaffolding,0.512420780520921,0.52726255595153,35
Physical_Terminal,0.616224014282571,0.649621689722115,36
SC_Specialized,2.29684243677589,2.02149013724897,36
SC_Scaffolding,0.302809107409666,0.338999103450757,36
Physical_Terminal,0.272654142318344,0.306531907749787,37
SC_Specialized,2.7146991336502,2.60523002619122,37
SC_Scaffolding,0.472302122461004,0.529509471868968,37
Physical_Terminal,0.378849453731831,0.45433888461585,38
SC_Specialized,0.859562272418325,0.650818054522281,38
SC_Scaffolding,0.397139533035257,0.393950964410895,38
Physical_Terminal,0.245200837862776,0.244989149363667,39
SC_Specialized,1.77071061082762,1.7484484419589,39
SC_Scaffolding,0.466199636086438,0.467585027531423,39
Physical_Terminal,0.327866188654711,0.356404128072227,40
SC_Specialized,4.60077589678116,4.36825083430563,40
SC_Scaffolding,0.42627618165337,0.476400892962246,40
Physical_Terminal,0.55283211101994,0.659554805505283,41
SC_Specialized,2.16913913303277,2.12564649322229,41
SC_Scaffolding,0.698457726405576,0.675329695071104,41
Physical_Terminal,0.514723112257157,0.526288881417217,42
SC_Specialized,1.55886308322634,1.62074983768895,42
SC_Scaffolding,0.244054229951006,0.217937702606875,42
Physical_Terminal,0.318611801386175,0.39624537420416,43
SC_Specialized,0.972194755983129,0.987978967126154,43
SC_Scaffolding,0.612576572308683,0.642066256768323,43
Physical_Terminal,0.524538525779576,0.561817650176028,44
SC_Specialized,0.665355182852013,0.789252533754239,44
SC_Scaffolding,0.408711722901365,0.434519210160323,44
Physical_Terminal,0.347370347205078,0.368271299934638,45
SC_Specialized,2.11115222315767,1.95760939306748,45
SC_Scaffolding,0.653245519381581,0.616364389266726,45
Physical_Terminal,0.441876750078638,0.496793274643569,46
SC_Specialized,1.89816880501813,1.79794038477212,46
SC_Scaffolding,0.245211230820274,0.26662749077238,46
Physical_Terminal,0.27112762787572,0.309023419984258,47
SC_Specialized,1.06880027773384,1.1412354401734,47
SC_Scaffolding,0.398006494019081,0.43003730946038,47
Physical_Terminal,0.342783705992255,0.383033736529407,48
SC_Specialized,1.36978012427968,1.42117118434128,48
SC_Scaffolding,0.384667130146781,0.341107423883395,48
Physical_Terminal,0.312399077928992,0.29458535663115,49
SC_Specialized,1.2979599805601,1.24394056636444,49
SC_Scaffolding,0.453370796836363,0.46994145589181,49
Physical_Terminal,0.392035774148345,0.472412969048326,50
SC_Specialized,0.538489291056982,0.635229199782181,50
SC_Scaffolding,0.493702109751849,0.509046312413647,50
Physical_Terminal,0.343406289301816,0.429823179028606,51
SC_Specialized,1.58408683098465,1.57834553189446,51
SC_Scaffolding,0.323834493041699,0.352010924516341,51
Physical_Terminal,0.488989898455632,0.524143091016907,52
SC_Specialized,2.01031509151499,2.01363841591153,52
SC_Scaffolding,0.403880704384197,0.404431280439627,52
Physical_Terminal,0.425107254845212,0.452907562265739,53
SC_Specialized,2.14952162160164,2.11447828112618,53
SC_Scaffolding,0.310464055796969,0.328269660959535,53
Physical_Terminal,0.577333652985998,0.669753969459618,54
SC_Specialized,1.02707178862065,1.08453618626819,54
SC_Scaffolding,0.387978244503883,0.327377446663166,54
Physical_Terminal,0.207584541065643,0.27742668760881,55
SC_Specialized,0.479003439863431,0.52766445256943,55
SC_Scaffolding,0.48571671539867,0.488734846905616,55
Physical_Terminal,0.545078709608746,0.571174320622389,56
SC_Specialized,0.420267068269049,0.508231954008169,56
SC_Scaffolding,0.374566473612067,0.382728821606555,56
Physical_Terminal,0.318903357287824,0.306488366627951,57
SC_Specialized,0.612119614693677,0.777450325795147,57
SC_Scaffolding,0.415878372896262,0.488267901770975,57
Physical_Terminal,0.561528577693636,0.64804434227108,58
SC_Specialized,1.57856700645355,1.75684269280203,58
SC_Scaffolding,0.333954476216431,0.362205478352476,58
Physical_Terminal,0.460241423421733,0.503341049457725,59
SC_Specialized,2.93761328291026,2.67530969506757,59
SC_Scaffolding,0.468882380635206,0.439464333820688,59
Physical_Terminal,0.406037163234846,0.434005872573594,60
SC_Specialized,-0.170989345602799,-0.0393203325779919,60
SC_Scaffolding,0.486181133528728,0.485948804013955,60
Physical_Terminal,0.423773050554139,0.490667122034166,61
SC_Specialized,1.35486274927709,1.24797207667069,61
SC_Scaffolding,0.289651920761909,0.280526412276098,61
Physical_Terminal,0.393624332721898,0.414247414246157,62
SC_Specialized,3.04994078313852,2.77934786248567,62
SC_Scaffolding,0.471030963012991,0.517451090974507,62
Physical_Terminal,0.291511444034252,0.33059392928799,63
SC_Specialized,0.961557493650439,1.01275131013762,63
SC_Scaffolding,0.411505029246574,0.447183724801942,63
Physical_Terminal,0.35406152142612,0.387243574510662,64
SC_Specialized,2.7218204599648,2.57634889039008,64
SC_Scaffolding,0.336026601719996,0.330781024366871,64
Physical_Terminal,0.337984069726073,0.388096809943702,65
SC_Specialized,2.01996900486797,1.76960722384166,65
SC_Scaffolding,0.649710892159259,0.68220748021298,65
Physical_Terminal,0.580632859952543,0.651752088184795,66
SC_Specialized,0.918308053469558,1.04045846544469,66
SC_Scaffolding,0.485080178530849,0.464958877104741,66
Physical_Terminal,0.494046340820745,0.560869700921355,67
SC_Specialized,1.23900885361757,1.29768275300579,67
SC_Scaffolding,0.524087100557234,0.48539277381795,67
Physical_Terminal,0.147734663388356,0.104931038450368,68
SC_Specialized,1.42025319113343,1.34691932270703,68
SC_Scaffolding,0.521577851614446,0.591246632827733,68
Physical_Terminal,0.375221078667604,0.453307399464278,69
SC_Specialized,0.754846685697777,0.945708878203631,69
SC_Scaffolding,0.606773483382265,0.603675952690785,69
Physical_Terminal,0.628932503079687,0.68836617490824,70
SC_Specialized,1.83845299516081,1.80047459267202,70
SC_Scaffolding,0.023851970778324,0.0270788587735,70
Physical_Terminal,0.454529997025457,0.539035196492328,71
SC_Specialized,1.17283190412886,1.05988412313253,71
