wage_quintile,r_obs_Cognitive,r_obs_Physical,r_ATC_Cognitive,r_ATC_Physical,r_NULL_Cognitive,r_NULL_Physical,ratio_obs,ratio_ATC,ratio_NULL
1,0.151201923076923,0.216469875870421,0.16830083825203,0.121204827450687,0.175742653595006,0.107954772827557,0.698489443249059,1.38856547046778,1.62792852036038
2,0.130349294471432,0.192307692307692,0.175681833097464,0.109367881904896,0.174358497968768,0.106679580272303,0.677816331251446,1.60633844267216,1.63441304815516
3,0.125278810408922,0.163046544428773,0.184423490514696,0.0964722577713281,0.175499379479822,0.104910436385879,0.768362254151606,1.91167383012682,1.67284958032492
4,0.188263665594855,0.10242747187685,0.198635061692756,0.0796440560165898,0.178392500972071,0.102035522016372,1.83801925543185,2.49403498048091,1.74833722067347
5,0.251731601731602,0.063595068137573,0.225504142831663,0.059433817750132,0.183019562355213,0.100422143381696,3.95835100273876,3.79420591454707,1.82250205175936
