wage_quintile,cog_2015,cog_NULL,cog_ATC,cog_OBS,phy_2015,phy_NULL,phy_ATC,phy_OBS
1,0.351923975697149,0.451398338879942,0.45866571263542,0.449914316871787,0.593326766806205,0.653473553312827,0.643873862086629,0.681359271115489
2,0.326530612244898,0.436211906905547,0.441605465761432,0.414316871786883,0.60945579906427,0.658192329701472,0.653245189416388,0.684560453090373
3,0.371397413927404,0.480635624563299,0.484923925104588,0.45014799813055,0.563531149963064,0.611421844539794,0.606705213992458,0.634695887712387
4,0.515500856831282,0.609282967498096,0.612666048817283,0.606714441501791,0.376138882048756,0.434542029147851,0.427106843497493,0.440039399162768
5,0.640130861504907,0.720542879435628,0.724606169892823,0.730721296152049,0.241073627185422,0.299247280177378,0.287385132999226,0.289337601575967
