world,cog_gap,phy_gap,pol
2015 baseline,0.288206885807758,-0.352253139620783,0.640460025428541
NULL (symmetric),0.269144540555687,-0.354226273135449,0.623370813691136
ATC (estimated),0.265940457257403,-0.356488729087402,0.622429186344805
Observed 2024,0.280806979280262,-0.392021669539523,0.672828648819784
