panel_short,archetype,coef,estimate,se
Panel A,SC_Specialized,Theta_up,0.185613754562704,0.0997491540799783
Panel A,SC_Specialized,Theta_dn,0.0325054842000017,0.113477034644705
Panel A,SC_Specialized,kappa,-0.0108503522711248,0.016567919687523
Panel A,SC_Specialized,delta,-0.237684607065299,0.23611107609714
Panel A,SC_Scaffolding,Theta_up,0.585260652756279,0.114571541117793
Panel A,SC_Scaffolding,Theta_dn,0.314409376148337,0.168045121835561
Panel A,SC_Scaffolding,kappa,-0.069605813653667,0.0315730711337079
Panel A,SC_Scaffolding,delta,-1.58504739648738,0.550273705151266
Panel A,Physical_Terminal,Theta_up,-0.821793066372941,0.136739091631242
Panel A,Physical_Terminal,Theta_dn,-0.14302178059913,0.10737630247799
Panel A,Physical_Terminal,kappa,-0.0222445590683252,0.0332539475016632
Panel A,Physical_Terminal,delta,-1.60382936325604,0.407833152023789
Panel B,SC_Specialized,Theta_up,0.182806881465642,0.0717515078081371
Panel B,SC_Specialized,Theta_dn,-0.0950790438968765,0.0481255936506975
Panel B,SC_Specialized,kappa,-0.0263326336473926,0.0133080710983247
Panel B,SC_Specialized,delta,-1.37609516086567,0.190463238490897
Panel B,SC_Scaffolding,Theta_up,0.487233224514904,0.0772659395007605
Panel B,SC_Scaffolding,Theta_dn,0.255153948140305,0.0954356974497149
Panel B,SC_Scaffolding,kappa,-0.0813511564198019,0.0256700504592348
Panel B,SC_Scaffolding,delta,-2.29270490677982,0.391083281739018
Panel B,Physical_Terminal,Theta_up,-0.682007427725519,0.10772505021977
Panel B,Physical_Terminal,Theta_dn,-0.150319262699198,0.0677894653264797
Panel B,Physical_Terminal,kappa,0.0110953594108092,0.0312230333448689
Panel B,Physical_Terminal,delta,-2.88646902655563,0.38381225373205
